Record_ID,User_ID,App_Name,Feature_Used,Keyword,Content_Category,Type,Usage_Duration_Minutes,Distraction_Score,Location,Date,Time_of_Day
1,U0045,Coursera,DM/Chat,Video call,Communication,Productive,9.2,2,College,2025-12-13,Late Night
2,U0367,WhatsApp,DM/Chat,Shopping,Commerce,Distractive,21.7,2,Home,2025-10-15,Afternoon
3,U0175,Zoom,Feed,Online sale,Commerce,Distractive,68.5,3,Office,2025-12-24,Night
4,U0310,Amazon,Reels/Shorts,Memes,Entertainment,Distractive,9.3,4,College,2025-07-03,Evening
5,U0454,LinkedIn,Explore,Celebrity,Entertainment,Distractive,8,5,Cafe,2025-11-18,Late Night
6,U0195,YouTube,DM/Chat,Trending hashtags,Social Media,Distractive,69.8,4,College,2025-04-30,Morning
7,U0312,Snapchat,Story,Funny compilation,Entertainment,Distractive,32.6,5,Cafe,2025-12-26,Morning
8,U0432,Snapchat,Course Page,Market analysis,Business,Productive,23.4,1,Library,2025-12-17,Evening
9,U0109,Amazon,Explore,Language learning,Education,Productive,16.8,1,Library,2025-10-18,Evening
10,U0135,Gmail,Search,Cricket update,Sports,Distractive,24.6,4,Library,2025-10-15,Late Night
11,U0047,Flipkart,DM/Chat,Flash deals,Commerce,Distractive,89.8,3,Office,2025-09-18,Night
12,U0240,Snapchat,Explore,Data Science course,Education,Productive,36.2,1,Hostel,2025-07-15,Late Night
13,U0002,Zoom,Story,Gaming,Entertainment,Distractive,10.9,4,Hostel,2025-03-22,Night
14,U0277,Google Classroom,Notification,Movie clips,Entertainment,Distractive,55.2,4,Office,2025-07-11,Afternoon
15,U0030,Udemy,Feed,Excel tutorial,Education,Productive,7.6,2,Commute,2025-06-07,Afternoon
16,U0485,WhatsApp,Course Page,Weather update,News,Productive,49.1,1,Office,2025-03-07,Night
17,U0344,Twitter/X,Notification,Resume building,Business,Productive,45.6,2,Library,2025-06-09,Night
18,U0284,LinkedIn,DM/Chat,DM chat casual,Social Media,Distractive,21,5,Commute,2025-01-11,Late Night
19,U0464,Instagram,Reels/Shorts,Weather update,News,Productive,42.8,1,Home,2025-04-28,Morning
20,U0068,Slack,DM/Chat,Science experiment,Education,Productive,17.4,1,Outdoors,2025-04-20,Late Night
21,U0211,Telegram,DM/Chat,Match highlights,Sports,Distractive,9.4,3,Hostel,2025-07-01,Night
22,U0099,LinkedIn,Feed,Live score,Sports,Distractive,36.8,4,Commute,2025-02-25,Afternoon
23,U0227,Facebook,Explore,Weather update,News,Productive,11.8,2,Outdoors,2025-05-08,Morning
24,U0443,WhatsApp,DM/Chat,Video call,Communication,Productive,10.8,1,Outdoors,2025-09-04,Afternoon
25,U0217,TikTok,Feed,Shopping,Commerce,Distractive,88.7,2,Cafe,2025-08-21,Evening
26,U0026,Google Classroom,DM/Chat,Match highlights,Sports,Distractive,87.2,2,Home,2025-06-10,Morning
27,U0305,Snapchat,Feed,Football clip,Sports,Distractive,86.5,4,College,2025-04-06,Morning
28,U0021,TikTok,Reels/Shorts,Colleague message,Communication,Productive,56.6,1,Library,2025-10-24,Late Night
29,U0203,Zoom,DM/Chat,Work discussion,Communication,Productive,40.5,2,Commute,2025-05-03,Evening
30,U0319,Gmail,Story,Investment tips,Business,Productive,55.8,2,College,2025-01-05,Night
31,U0190,Slack,Watch,Group chat,Communication,Productive,8.8,1,Commute,2025-02-05,Afternoon
32,U0481,Google Classroom,Notification,Movie clips,Entertainment,Distractive,1.7,5,Cafe,2025-12-06,Morning
33,U0368,LinkedIn,Notification,Resume building,Business,Productive,10.2,1,Cafe,2025-11-06,Afternoon
34,U0425,Slack,Course Page,Trending hashtags,Social Media,Distractive,23.3,5,Home,2025-02-17,Night
35,U0283,Amazon,Search,Celebrity,Entertainment,Distractive,57.7,4,Cafe,2025-03-24,Night
36,U0428,LinkedIn,Reels/Shorts,Flash deals,Commerce,Distractive,85.1,2,Office,2025-10-07,Morning
37,U0350,Facebook,Feed,Story updates,Social Media,Distractive,28.4,5,Home,2025-07-03,Afternoon
38,U0474,Flipkart,Notification,Local news,News,Productive,53.2,1,Hostel,2025-11-14,Afternoon
39,U0137,Snapchat,Explore,World news,News,Productive,2.5,1,Commute,2025-07-30,Afternoon
40,U0180,TikTok,Feed,LinkedIn post,Business,Productive,51.7,1,Library,2025-04-13,Night
41,U0180,Instagram,DM/Chat,Prank videos,Entertainment,Distractive,36.5,4,Cafe,2025-02-05,Evening
42,U0493,Instagram,Reels/Shorts,Wishlist browsing,Commerce,Distractive,79.1,3,Cafe,2025-04-02,Late Night
43,U0262,Telegram,Story,Celebrity,Entertainment,Distractive,65.8,4,Commute,2025-08-12,Late Night
44,U0352,Zoom,Feed,Work discussion,Communication,Productive,42.8,1,Home,2025-09-24,Late Night
45,U0159,WhatsApp,Story,Political news,News,Productive,37.8,2,College,2025-06-03,Late Night
46,U0347,Google Classroom,Notification,Product review,Commerce,Distractive,12.3,3,Hostel,2025-12-07,Night
47,U0221,TikTok,Notification,Startup news,Business,Productive,50.2,2,Cafe,2025-05-27,Afternoon
48,U0146,Gmail,DM/Chat,DM chat casual,Social Media,Distractive,46.5,5,Office,2025-12-04,Morning
49,U0126,Google Classroom,DM/Chat,Influencer content,Social Media,Distractive,72.8,4,Office,2025-01-13,Morning
50,U0254,Gmail,Explore,Football clip,Sports,Distractive,79.9,2,Library,2025-12-23,Night
51,U0238,Instagram,Reels/Shorts,Online sale,Commerce,Distractive,70.3,2,Library,2025-04-01,Late Night
52,U0287,LinkedIn,Course Page,Competitive exam tips,Education,Productive,8.9,1,Outdoors,2025-12-08,Late Night
53,U0385,Gmail,Search,DM chat casual,Social Media,Distractive,67.2,5,Outdoors,2025-08-19,Evening
54,U0040,Zoom,Notification,World news,News,Productive,29.6,3,Library,2025-05-21,Night
55,U0119,Amazon,Story,Prank videos,Entertainment,Distractive,80.5,5,College,2025-03-12,Afternoon
56,U0213,Twitter/X,Reels/Shorts,Wishlist browsing,Commerce,Distractive,37.9,2,Commute,2025-10-05,Night
