User_ID,Category,Rating,Reviews,Size_MB,Installs,Type,Price_USD,Content_Rating,Genres,Last_Updated,Current_Ver,Android_Ver
USR00001,ART_AND_DESIGN,4.1,159,19,10000,Free,0,Everyone,Art & Design,2018-01-07,1.0.0,4.0.3 and up
USR00002,ART_AND_DESIGN,3.9,967,14,500000,Free,0,Everyone,Art & Design;Pretend Play,2018-01-15,2.0.0,4.0.3 and up
USR00003,ART_AND_DESIGN,4.7,87510,8.7,5000000,Free,0,Everyone,Art & Design,2018-08-01,1.2.4,4.0.3 and up
USR00004,ART_AND_DESIGN,4.5,215644,25,50000000,Free,0,Teen,Art & Design,2018-06-08,Varies with device,4.2 and up
USR00005,ART_AND_DESIGN,4.3,967,2.8,100000,Free,0,Everyone,Art & Design;Creativity,2018-06-20,1.1,4.4 and up
USR00006,ART_AND_DESIGN,4.4,167,5.6,50000,Free,0,Everyone,Art & Design,2017-03-26,1,2.3 and up
USR00007,ART_AND_DESIGN,3.8,178,19,50000,Free,0,Everyone,Art & Design,2018-04-26,1.1,4.0.3 and up
USR00008,ART_AND_DESIGN,4.1,36815,29,1000000,Free,0,Everyone,Art & Design,2018-06-14,6.1.61.1,4.2 and up
USR00009,ART_AND_DESIGN,4.4,13791,33,1000000,Free,0,Everyone,Art & Design,2017-09-20,2.9.2,3.0 and up
USR00010,ART_AND_DESIGN,4.7,121,3.1,10000,Free,0,Everyone,Art & Design;Creativity,2018-07-03,2.8,4.0.3 and up
USR00011,ART_AND_DESIGN,4.4,13880,28,1000000,Free,0,Everyone,Art & Design,2017-10-27,1.0.4,4.1 and up
USR00012,ART_AND_DESIGN,4.4,8788,12,1000000,Free,0,Everyone,Art & Design,2018-07-31,1.0.15,4.0 and up
USR00013,ART_AND_DESIGN,4.2,44829,20,10000000,Free,0,Teen,Art & Design,2018-04-02,3.8,4.1 and up
USR00014,ART_AND_DESIGN,4.6,4326,21,100000,Free,0,Everyone,Art & Design,2018-06-26,1.0.4,4.4 and up
USR00015,ART_AND_DESIGN,4.4,1518,37,100000,Free,0,Everyone,Art & Design,2018-08-03,1.2.3,2.3 and up
USR00016,ART_AND_DESIGN,4.4,1518,37,100000,Free,0,Everyone,,2018-07-31,3.1,4.1 and up
USR00017,ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0,Everyone,Art & Design,2018-07-31,3.1,4.1 and up
USR00018,ART_AND_DESIGN,4.5,27,17,10000,Free,0,Everyone,Art & Design,2017-11-07,1,2.3 and up
USR00019,ART_AND_DESIGN,4.3,194216,39,5000000,Free,0,Everyone,Art & Design,2018-08-03,2.2.5,4.0.3 and up
USR00020,ART_AND_DESIGN,4.6,224399,31,10000000,Free,0,Everyone,Art & Design,2018-07-30,5.5.4,4.1 and up
USR00021,ART_AND_DESIGN,4,450,14,100000,Free,0,Everyone,Art & Design,2018-04-20,4,4.1 and up
USR00022,ART_AND_DESIGN,4.1,654,12,100000,Free,0,Everyone,Art & Design,2018-03-20,1.1,4.0.3 and up
USR00023,ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0,Everyone 10+,Art & Design,2018-07-12,2.2.6.2,4.0.3 and up
USR00024,ART_AND_DESIGN,4.7,118,23,50000,Free,0,Everyone,Art & Design,2018-07-07,1.1.3,4.1 and up
USR00025,ART_AND_DESIGN,4.8,192,6,10000,Free,0,Everyone,Art & Design,2018-04-25,1.5,3.0 and up
USR00026,ART_AND_DESIGN,4.7,20260,25,500000,Free,0,Everyone,Art & Design;Creativity,2017-10-11,1.0.8,4.0.3 and up
USR00027,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0,Everyone,Art & Design,2018-03-21,1.03,4.0.3 and up
USR00028,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0,Everyone,Art & Design,2018-07-12,6,2.3 and up
USR00029,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0,Everyone,Art & Design,2017-08-22,1,2.3 and up
USR00030,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0,Everyone,Art & Design,2018-07-12,6.7.12.2018,4.0.3 and up
USR00031,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0,Everyone,Art & Design,2018-05-31,1.2,2.3 and up
USR00032,ART_AND_DESIGN,4.5,5035,11,100000,Free,0,Everyone,Art & Design,2018-07-19,2.2,4.0 and up
USR00033,ART_AND_DESIGN,4.2,1015,11,100000,Free,0,Everyone,Art & Design,2018-01-06,1.1.0,4.1 and up
USR00034,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0,Teen,Art & Design,2018-04-27,1.6,4.1 and up
USR00035,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0,Everyone,Art & Design,2018-07-11,2.1,4.1 and up
USR00036,ART_AND_DESIGN,4.7,8145,24,500000,Free,0,Everyone,Art & Design;Creativity,2018-08-02,1.0.9,4.4 and up
USR00037,ART_AND_DESIGN,4.1,36639,,5000000,Free,0,Everyone,Art & Design,2018-07-14,Varies with device,2.3.3 and up
USR00038,ART_AND_DESIGN,4.7,158,11,10000,Free,0,Everyone,Art & Design,2017-11-29,1.3,4.0.3 and up
USR00039,ART_AND_DESIGN,4,591,9.4,500000,Free,0,Everyone,Art & Design,2018-03-31,1,4.0 and up
USR00040,ART_AND_DESIGN,4.2,117,15,10000,Free,0,Everyone,Art & Design,2018-07-20,2.0.1,4.0.3 and up
USR00041,ART_AND_DESIGN,4.5,176,10,100000,Free,0,Everyone,Art & Design,2018-04-02,1,4.0.3 and up
USR00042,ART_AND_DESIGN,4.4,295221,,10000000,Free,0,Everyone,Art & Design,2018-07-30,Varies with device,Varies with device
USR00043,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0,Everyone,Art & Design;Creativity,2018-04-15,1.46,4.1 and up
USR00044,ART_AND_DESIGN,4.2,26,12,10000,Free,0,Everyone,Art & Design,2018-01-03,1.0.0,4.1 and up
